Brand,Model,Price,Body,Mileage,EngineV,Engine Type,Registration,Year
BMW,X6,41000,crossover,80,3,Petrol,yes,2012
Mitsubishi,Galant,2500,sedan,220,2.4,Petrol,yes,1987
BMW,525,3700,sedan,231,2.5,Petrol,yes,1990
Mercedes-Benz,S 500,29500,sedan,134,5,Petrol,yes,2008
BMW,528,6500,sedan,335,2.8,Petrol,yes,1996
Mercedes-Benz,E-Class,NA,sedan,145,3.2,Diesel,yes,2007
Renault,Kangoo,8250,van,66,1.5,Diesel,yes,2014
Mercedes-Benz,ML 350,19500,crossover,172,3.5,Other,yes,2008
Mercedes-Benz,S 500,13500,sedan,317,5,Petrol,yes,2001
Mercedes-Benz,Vito,9200,van,266,2.2,Diesel,yes,2008
Mercedes-Benz,GLS 350,NA,crossover,0,3,Diesel,yes,2016
Toyota,Camry,10900,sedan,156,NA,Gas,yes,2005
Volkswagen,Passat B6,5000,vagon,265,2,Diesel,no,2006
BMW,X5,23900,crossover,162,4.8,Petrol,yes,2007
BMW,730,36900,sedan,81,3,Diesel,yes,2010
BMW,318,8900,other,253,1.8,Petrol,yes,1995
Renault,Trafic,7800,van,200,1.9,Diesel,yes,2002
BMW,X5 M,133000,crossover,7,4.4,Petrol,yes,2015
BMW,318,1650,sedan,270,1.8,Petrol,no,1995
Mercedes-Benz,S 350,50000,sedan,240,3.5,Petrol,yes,2006
Renault,Trafic,9700,van,245,2,Diesel,yes,2008
Mercedes-Benz,Vito,9999,van,127,2.2,Diesel,yes,2005
Audi,A6 Allroad,69999,crossover,21,3,Petrol,yes,2015
Mitsubishi,Lancer,6500,sedan,152,1.6,Petrol,yes,2007
Audi,A6,4300,sedan,267,1.9,Diesel,no,2003
Audi,A6,3000,sedan,267,2.5,Diesel,no,1999
Mercedes-Benz,E-Class,8700,sedan,240,2.2,Diesel,yes,2000
Renault,Scenic,9000,vagon,178,2,Petrol,yes,2008
Mercedes-Benz,E-Class,20400,sedan,190,1.8,Gas,yes,2011
BMW,330,9000,sedan,175,3,Petrol,no,2006
Mercedes-Benz,E-Class,13400,sedan,105,1.8,Petrol,yes,2006
Volkswagen,Passat B5,3700,sedan,195,1.9,Diesel,no,2001
Volkswagen,Caddy,9850,van,126,2,Diesel,yes,2012
Audi,A3,3700,hatch,420,2,Diesel,no,2004
Toyota,Land Cruiser Prado,15700,crossover,195,4,Gas,yes,2003
Mercedes-Benz,E-Class,24500,sedan,180,2.2,Diesel,yes,2012
Mitsubishi,Lancer,7500,sedan,195,1.6,Gas,yes,2007
Volkswagen,Caravelle,11990,van,231,2.5,Diesel,yes,2002
Volkswagen,Polo,13708.5,hatch,51,1.4,Petrol,yes,2014
BMW,525,8200,sedan,287,2.5,Gas,yes,1999
Renault,Kangoo,6999,van,222,1.5,Diesel,yes,2009
Renault,Megane,6750,vagon,214,1.5,Diesel,yes,2004
Audi,A8,18500,sedan,245,3,Diesel,yes,2006
Toyota,Avensis,14299,sedan,83,2,Petrol,yes,2009
Mercedes-Benz,GL 320,28500,crossover,210,3.2,Diesel,yes,2007
Mitsubishi,Pajero Wagon,17000,crossover,89,3.8,Petrol,yes,2008
Mercedes-Benz,GL 350,NA,crossover,0,3,Diesel,yes,2016
Mercedes-Benz,GL 450,25700,crossover,130,4.7,Gas,yes,2008
Audi,A6,2650,vagon,333,2.5,Diesel,no,2000
Mitsubishi,Lancer X,8500,sedan,116,1.5,Petrol,yes,2008
Mercedes-Benz,200,4000,sedan,405,2,Diesel,yes,1992
Renault,Kangoo,11000,other,131,1.5,Diesel,yes,2011
Mercedes-Benz,E-Class,14500,sedan,138,2,Petrol,yes,2007
BMW,520,4099,sedan,50,2.5,Petrol,yes,1988
Volkswagen,Tiguan,31500,crossover,1,2,Petrol,yes,2014
Renault,Kangoo,4500,van,207,1.5,Diesel,yes,2003
Volkswagen,Caddy,6700,other,207,1.9,Diesel,yes,2004
Renault,Kangoo,NA,van,85,1.5,Diesel,yes,2012
Mitsubishi,Outlander XL,20800,crossover,31,2.4,Petrol,yes,2011
Mercedes-Benz,GLS 350,107999,crossover,0,2.98,Diesel,yes,2016
BMW,320,3500,sedan,334,2,Diesel,no,1999
Audi,A5,39000,sedan,18,1.8,Other,yes,2015
Toyota,Land Cruiser 100,13500,crossover,150,4.7,Gas,yes,2002
Mitsubishi,Lancer,6150,sedan,175,1.6,Petrol,yes,2007
BMW,X6 M,45500,crossover,76,4.4,Petrol,yes,2010
BMW,520,4900,sedan,295,2,Petrol,yes,1994
BMW,Z4,47000,other,5,2,Petrol,yes,2014
Toyota,Land Cruiser Prado,19200,crossover,190,2.7,Gas,yes,2005
Renault,Megane,NA,vagon,180,1.5,Diesel,yes,2011
Mitsubishi,Outlander,11100,crossover,119,2.4,Gas,yes,2008
Mitsubishi,Lancer X,8200,sedan,139,1.5,Other,yes,2012
Volkswagen,Passat B6,10300,sedan,235,2,Petrol,yes,2007
Renault,Scenic,11990,van,210,1.1,Diesel,yes,2010
Mitsubishi,Galant,800,sedan,340,NA,Other,yes,1986
BMW,520,46800,sedan,33,2,Diesel,yes,2014
Volkswagen,Golf III,1500,other,260,1.8,Gas,no,1994
BMW,X5,6350,crossover,156,4.4,Gas,no,2002
Mercedes-Benz,S 350,NA,sedan,16,3,Diesel,yes,2014
Mercedes-Benz,A 150,8900,hatch,155,1.5,Petrol,yes,2005
Mercedes-Benz,Vito,12700,van,160,3,Diesel,yes,2007
Mitsubishi,Lancer,8000,sedan,207,1.6,Gas,yes,2007
Toyota,FJ Cruiser,29500,crossover,63,4,Petrol,yes,2008
Volkswagen,Golf GTI,NA,hatch,100,2,Petrol,yes,2013
Renault,Kangoo,7100,van,208,1.5,Diesel,yes,2008
Renault,Koleos,10850,crossover,103,2.5,Gas,yes,2010
Volkswagen,T4 (Transporter),NA,van,277,2.5,Diesel,yes,2001
Toyota,Land Cruiser 200,195000,crossover,0,4.5,Diesel,yes,2016
Volkswagen,Passat B7,27000,sedan,57,2,Diesel,yes,2013
Volkswagen,Scirocco,18100,other,64,2,Petrol,yes,2011
BMW,M5,27000,sedan,137,5,Other,yes,2005
BMW,320,8990,other,300,2.2,Petrol,yes,2002
Toyota,Venza,32900,crossover,82,2.7,Petrol,yes,2013
BMW,X5,25500,other,163,4.8,Petrol,yes,2008
Toyota,Rav 4,8900,crossover,153,2,Petrol,yes,2003
Audi,A6,11950,sedan,190,3,Petrol,yes,2006
Mercedes-Benz,E-Class,22700,sedan,125,2.2,Diesel,yes,2010
Audi,80,600,sedan,112,1.6,Petrol,yes,1980
BMW,520,13000,sedan,165,2.2,Gas,yes,2003
Audi,A5,25000,other,60,2,Petrol,yes,2011
Toyota,Land Cruiser Prado,26900,crossover,119,4,Gas,yes,2008
Mercedes-Benz,V 250,87777,van,0,2.2,Diesel,yes,2016
Volkswagen,Caddy,6000,van,200,2,Diesel,yes,2008
Audi,A6,9800,vagon,257,2.5,Diesel,yes,2003
Audi,A6,13900,other,197,2,Diesel,yes,2006
Renault,Trafic,12200,van,164,2.5,Diesel,yes,2009
Mercedes-Benz,ML 270,13500,crossover,205,2.7,Diesel,yes,2005
BMW,X5,18100,crossover,200,4.8,Petrol,yes,2005
BMW,X5,33000,crossover,200,3,Diesel,yes,2010
Volkswagen,Tiguan,16900,crossover,145,1.4,Petrol,yes,2011
Mercedes-Benz,C-Class,22000,sedan,110,1.8,Petrol,yes,2011
Volkswagen,Passat B6,10700,sedan,195,3.2,Petrol,yes,2007
Mercedes-Benz,E-Class,7800,sedan,226,2.2,Diesel,yes,2000
Mercedes-Benz,E-Class,17300,sedan,184,1.8,Gas,yes,2008
BMW,730,70000,sedan,16,3,Diesel,yes,2014
Volkswagen,Lupo,2200,hatch,118,1.4,Petrol,no,2001
BMW,5 Series,8900,sedan,256,2.2,Petrol,yes,2002
Mercedes-Benz,CLA 200,31600,sedan,33,1.6,Petrol,yes,2013
Volkswagen,T5 (Transporter),7900,other,168,1.9,Diesel,yes,2006
Toyota,Highlander,28500,crossover,97,3.5,Petrol,yes,2012
Renault,Kangoo,6900,van,140,1.5,Diesel,yes,2012
BMW,525,8850,vagon,280,2.5,Diesel,yes,2000
Renault,Kangoo,3100,van,164,1.4,Petrol,yes,1999
BMW,525,8900,sedan,250,2.5,Petrol,yes,2000
Renault,Megane,6100,sedan,130,1.4,Petrol,yes,2005
BMW,318,1400,sedan,260,1.8,Petrol,no,1996
Volkswagen,Caddy,8800,van,93,1.6,Diesel,yes,2012
Renault,Trafic,10299,other,176,2,Diesel,yes,2013
Renault,Megane,6500,sedan,170,1.6,Petrol,yes,2004
Mercedes-Benz,S 500,169000,other,1,4.7,Petrol,yes,2015
Toyota,Corolla,9100,sedan,151,1.6,Gas,yes,2007
Volkswagen,Polo,9950,hatch,95,1.4,Petrol,yes,2010
Toyota,Land Cruiser 100,24500,crossover,260,4.7,Gas,yes,2003
Audi,Q7,51500,crossover,27,3,Diesel,yes,2013
Volkswagen,T5 (Transporter),12900,van,290,1.9,Diesel,yes,2008
Mercedes-Benz,Vito,8000,van,250,2.2,Diesel,yes,2006
Mitsubishi,Galant,8100,sedan,112,2.4,Petrol,yes,2007
Renault,Trafic,10100,van,164,2,Diesel,yes,2012
BMW,5 Series,1900,sedan,300,2.5,Diesel,no,1997
Renault,Trafic,10800,van,187,2,Diesel,yes,2012
Audi,A8,8000,sedan,234,4.2,Gas,no,2004
Mercedes-Benz,CLK 240,15300,other,120,2.6,Petrol,yes,2004
Volkswagen,Golf IV,2350,hatch,182,1.9,Diesel,no,1998
Volkswagen,Passat CC,23999,sedan,88,NA,Other,yes,2012
BMW,I3,38888,vagon,5,0.65,Other,yes,2015
Mitsubishi,Colt,7300,hatch,126,NA,Other,yes,2004
Toyota,Land Cruiser 200,99999,crossover,0,4.5,Diesel,yes,2016
Volkswagen,Passat B7,17650,sedan,110,1.8,Petrol,yes,2012
Volkswagen,Multivan,12999,van,237,2.5,Diesel,yes,2005
Mercedes-Benz,C-Class,18500,other,90,1.8,Petrol,yes,2008
Volkswagen,Passat B6,9200,sedan,195,2,Petrol,yes,2006
Volkswagen,Polo,14500,sedan,1,1.6,Other,yes,2016
Volkswagen,Passat B7,18000,vagon,18,1.6,Diesel,yes,2011
Mercedes-Benz,Vaneo,6800,van,250,1.7,Diesel,yes,2003
BMW,X1,20500,crossover,73,2,Petrol,yes,2011
BMW,M5,28000,other,100,5,Petrol,yes,2005
Volkswagen,T5 (Transporter),10650,van,130,2,Diesel,yes,2011
Volkswagen,Scirocco,20300,other,30,1.4,Petrol,yes,2013
Volkswagen,Passat B5,3000,vagon,267,1.9,Diesel,no,1999
Toyota,Land Cruiser 100,25250,crossover,112,4.5,Gas,yes,2007
Mitsubishi,Colt,1389,hatch,245,1.3,Petrol,no,1996
Mercedes-Benz,S 400,17600,sedan,174,4,Diesel,yes,2005
Mercedes-Benz,Vito,14200,van,180,2.2,Diesel,yes,2007
BMW,X5,13700,crossover,270,4.6,Gas,yes,2004
Mercedes-Benz,S 550,23900,sedan,187,5.5,Petrol,yes,2007
Volkswagen,Golf IV,3700,crossover,267,NA,Diesel,no,2000
Volkswagen,Passat CC,32000,sedan,144,3.6,Petrol,yes,2013
BMW,520,4599,sedan,267,2,Gas,yes,1991
Volkswagen,Passat B5,2350,sedan,300,1.9,Diesel,no,1998
Audi,A4 Allroad,19999,vagon,160,2,Petrol,yes,2010
BMW,528,28900,sedan,78,2,Petrol,yes,2012
Volkswagen,Passat B4,3800,sedan,300,2.8,Gas,yes,1996
Audi,A6,4649,vagon,350,NA,Diesel,yes,2000
Volkswagen,Golf II,1800,other,300,1.3,Petrol,yes,1989
Toyota,Land Cruiser 200,135000,crossover,1,4.5,Diesel,yes,2011
Volkswagen,Passat B6,9700,sedan,201,2,Petrol,yes,2007
Mitsubishi,L 200,25342.2,other,1,2.5,Diesel,yes,2016
Volkswagen,Jetta,24900,sedan,1,1.6,Diesel,yes,2016
Renault,Logan,4999,sedan,140,1.4,Petrol,yes,2011
Volkswagen,Multivan,NA,other,142,2.5,Diesel,yes,2007
BMW,525,4700,sedan,390,2.5,Petrol,yes,1991
Mercedes-Benz,E-Class,4999,sedan,1,2.8,Petrol,yes,1997
Mercedes-Benz,E-Class,9299,sedan,350,2.7,Diesel,yes,2000
Mercedes-Benz,S 550,25000,sedan,130,5.5,Petrol,yes,2007
Mitsubishi,Pajero Sport,12900,crossover,148,3,Gas,yes,2008
Audi,A6,9700,vagon,189,2.5,Diesel,yes,2003
Renault,Trafic,10100,van,64,2,Diesel,yes,2014
BMW,730,2800,sedan,296,3,Diesel,no,2001
Mercedes-Benz,Sprinter 312,13500,van,350,2.9,Diesel,yes,2000
Mitsubishi,Lancer X Sportback,8900,hatch,125,1.8,Petrol,yes,2009
Mercedes-Benz,GLS 350,109999,crossover,0,3,Diesel,yes,2016
Mercedes-Benz,E-Class,11500,sedan,180,3.2,Gas,yes,2004
BMW,X6,36900,crossover,82,3,Petrol,yes,2010
Toyota,Land Cruiser Prado,33200,crossover,150,4,Gas,yes,2010
Volkswagen,T5 (Transporter),10200,van,253,2.5,Diesel,yes,2008
Volkswagen,Jetta,16999,sedan,0,1.6,Petrol,yes,2016
Toyota,Camry,10800,sedan,179,3,Gas,yes,2005
Mercedes-Benz,E-Class,35500,other,99,2.99,Diesel,yes,2011
Volkswagen,Golf Plus,9900,hatch,156,1.6,Petrol,yes,2007
Renault,Scenic,7900,vagon,91,1.5,Diesel,yes,2008
Mercedes-Benz,E-Class,13900,sedan,216,2.2,Diesel,yes,2007
Volkswagen,Passat CC,20000,sedan,102,1.8,Petrol,yes,2011
Toyota,Rav 4,28500,crossover,38,2.2,Diesel,yes,2015
Mitsubishi,Lancer,7200,sedan,178,1.6,Petrol,yes,2007
Mitsubishi,Outlander,9000,crossover,200,2,Gas,yes,2006
Audi,Q7,36500,crossover,115,3,Diesel,yes,2010
Volkswagen,Up,8000,hatch,41,1,Petrol,yes,2012
Audi,A6,43000,other,11,1.8,Petrol,yes,2015
Toyota,Corolla,13700,sedan,48,1.4,Diesel,yes,2013
Toyota,Avensis,7899,sedan,165,1.8,Gas,yes,2006
Renault,Trafic,13999,van,180,2,Diesel,yes,2012
Volkswagen,Caddy,10500,van,176,1.6,Diesel,yes,2012
Mercedes-Benz,S 550,5500,sedan,100,99.99,Petrol,yes,2007
Volkswagen,Amarok,20800,other,160,2,Diesel,yes,2012
Volkswagen,Passat B3,2500,sedan,488,2,Petrol,yes,1991
Mercedes-Benz,G 320,32000,crossover,176,3.2,Gas,yes,2003
Mercedes-Benz,S 500,14500,sedan,220,5,Petrol,yes,2004
Toyota,Auris,16900,hatch,20,1.6,Petrol,yes,2014
Mercedes-Benz,Vito,13600,van,172,2.2,Diesel,yes,2013
Audi,A6,2600,vagon,273,2.5,Diesel,no,1999
Mercedes-Benz,V 250,NA,van,0,2.2,Diesel,yes,2016
BMW,530,12000,sedan,237,3,Diesel,yes,2003
Volkswagen,Jetta,NA,sedan,118,1.6,Gas,yes,2008
Volkswagen,Passat B7,18800,vagon,106,1.6,Diesel,yes,2013
Toyota,Land Cruiser Prado,35500,crossover,85,3,Diesel,yes,2012
Mercedes-Benz,CL 500,29900,other,71,5.5,Petrol,yes,2007
Renault,Kangoo,6750,other,110,1.5,Diesel,yes,2012
Toyota,Land Cruiser 200,NA,crossover,0,4.5,Diesel,yes,2016
BMW,X5,34900,crossover,117,3,Petrol,yes,2011
Volkswagen,T5 (Transporter),7700,van,177,1.9,Diesel,yes,2008
Renault,Megane,9250,vagon,220,1.5,Diesel,yes,2010
Renault,Kangoo,8400,hatch,84,1.5,Diesel,yes,2011
Toyota,Corolla,11750,sedan,93,1.6,Petrol,yes,2013
Mercedes-Benz,Vito,5800,van,368,2.2,Diesel,yes,2000
Toyota,Land Cruiser Prado,5900,crossover,180,3,Diesel,no,2003
BMW,X6,44999,crossover,87,3,Diesel,yes,2011
Volkswagen,Caddy,10500,van,170,1.6,Diesel,yes,2013
Mercedes-Benz,E-Class,17900,sedan,190,3,Diesel,yes,2007
Audi,A6,9999,sedan,190,3,Petrol,yes,2007
Audi,A6,9999,sedan,190,2.5,Diesel,yes,2003
Renault,Master,4900,van,472,2.5,Diesel,yes,2000
Volkswagen,Touareg,61000,crossover,2,3,Diesel,yes,2016
Toyota,Land Cruiser 200,38300,crossover,130,5.7,Gas,yes,2009
Toyota,Corolla,17700,sedan,30,1.6,Petrol,yes,2014
Toyota,Corolla,600,sedan,10,1.5,Petrol,yes,1979
Volkswagen,Multivan,55555,van,50,2,Diesel,yes,2013
BMW,X5,18000,crossover,280,3,Diesel,yes,2005
Renault,Kangoo,7600,other,125,1.5,Diesel,yes,2013
Renault,Logan,6900,sedan,68,1.5,Diesel,yes,2013
Renault,Dokker,15635.1,vagon,0,1.5,Diesel,yes,2016
Renault,Trafic,10550,van,195,2,Diesel,yes,2011
Volkswagen,T5 (Transporter),12500,van,190,1.9,Diesel,yes,2008
Audi,A6,13000,sedan,157,3,Petrol,yes,2006
BMW,540,7400,sedan,285,4.4,Gas,yes,1997
Audi,A8,64400,other,41,NA,Other,yes,2014
Renault,Megane,9500,hatch,100,1.5,Diesel,yes,2009
Audi,Q7,18800,crossover,197,4.2,Petrol,yes,2007
Toyota,Camry,8000,sedan,176,3,Petrol,yes,2002
Volkswagen,Passat B5,8700,vagon,250,1.9,Diesel,yes,2002
Mercedes-Benz,ML 320,9999,crossover,300,3.2,Petrol,yes,1998
Volkswagen,Passat CC,16700,sedan,175,2,Petrol,yes,2011
Toyota,Auris,13900,hatch,90,1.6,Petrol,yes,2012
Volkswagen,T5 (Transporter),18700,other,145,2,Diesel,yes,2011
Mitsubishi,Lancer,6200,sedan,152,1.6,Petrol,yes,2006
Mercedes-Benz,Vito,NA,van,450,2.2,Diesel,yes,2000
Renault,Kangoo,3600,van,22,1.9,Diesel,yes,2001
Renault,Kangoo,7500,vagon,98,1.4,Petrol,yes,2007
Renault,Kangoo,2300,van,200,1.9,Diesel,yes,2002
Volkswagen,Touareg,16900,crossover,133,2.5,Diesel,yes,2007
Mitsubishi,Outlander XL,13499,crossover,116,2.4,Petrol,yes,2008
Renault,Kangoo,5700,van,180,1.5,Diesel,yes,2007
Renault,Kangoo,7250,van,83,NA,Other,yes,2013
Mitsubishi,Pajero Wagon,17900,crossover,140,3.8,Gas,yes,2007
Volkswagen,Passat B5,7800,vagon,289,NA,Diesel,yes,2003
Volkswagen,Multivan,13900,other,170,1.9,Diesel,yes,2006
Audi,A6,7950,vagon,167,2.5,Diesel,yes,2000
BMW,318,9700,sedan,250,2,Petrol,yes,2003
Volkswagen,Passat B5,7500,sedan,240,1.8,Petrol,yes,2002
Audi,Q7,19999,crossover,117,4.2,Petrol,yes,2007
BMW,318,9100,sedan,230,2,Gas,yes,2004
Renault,Kangoo,8100,van,135,NA,Diesel,yes,2008
Volkswagen,Golf VI,13300,hatch,73,1.4,Petrol,yes,2011
Volkswagen,Golf VII,21000,hatch,22,1.2,Other,yes,2014
Audi,A6,6600,sedan,360,1.8,Petrol,yes,1998
Audi,A6,7600,vagon,226,3,Diesel,no,2006
Mercedes-Benz,A 170,3500,hatch,258,1.7,Diesel,no,2002
Volkswagen,Passat B3,3500,sedan,3,1.8,Petrol,yes,1991
Mercedes-Benz,Vito,17900,van,167,2.2,Diesel,yes,2012
Renault,Laguna,1950,vagon,286,1.9,Diesel,no,2001
Volkswagen,New Beetle,7990,sedan,90,1.4,Petrol,yes,2003
Volkswagen,Touareg,65000,crossover,24,NA,Other,yes,2015
Volkswagen,Passat B5,6500,sedan,320,1.9,Diesel,yes,2001
Mitsubishi,Galant,3500,sedan,300,2,Diesel,yes,1996
Toyota,Camry,14100,sedan,113,2.4,Gas,yes,2009
Toyota,Corolla,2999,other,300,1.6,Petrol,yes,1991
BMW,X5,66900,crossover,70,3,Diesel,yes,2014
Toyota,Camry,13100,sedan,200,3.5,Gas,yes,2006
Volkswagen,Passat B5,6900,sedan,300,1.8,Petrol,yes,1998
Volkswagen,Passat B7,23999,sedan,80,2,Diesel,yes,2014
Mitsubishi,Pajero,6990,crossover,225,2.5,Petrol,yes,1997
Toyota,Camry,13999,sedan,198,2.4,Gas,yes,2009
Renault,Kangoo,7600,van,108,1,Diesel,yes,2013
Renault,Megane,11100,vagon,180,1.5,Diesel,yes,2012
Mercedes-Benz,Sprinter 319,16500,other,260,2.2,Diesel,yes,2011
Mercedes-Benz,GLS 63,199999,crossover,0,5.5,Petrol,yes,2016
Mercedes-Benz,S 500,44000,other,82,5.5,Petrol,yes,2010
Audi,A5,39900,other,12,1.8,Petrol,yes,2014
Mercedes-Benz,E-Class,20500,sedan,173,1.8,Gas,yes,2011
BMW,X5,8000,crossover,214,4.4,Petrol,no,2000
BMW,320,11600,sedan,142,2,Petrol,yes,2005
Audi,100,3500,sedan,265,2,Diesel,yes,1986
Renault,Megane,11500,vagon,170,1.5,Diesel,yes,2012
Volkswagen,Passat B6,13700,other,103,2,Diesel,yes,2011
Mercedes-Benz,Viano,13700,van,198,3.2,Gas,yes,2006
Renault,Megane,7700,vagon,200,1.5,Diesel,yes,2007
Mercedes-Benz,E-Class,5800,sedan,231,2.2,Petrol,yes,1994
Volkswagen,Passat B6,9500,sedan,95,2,Petrol,yes,2007
Mercedes-Benz,S 550,24900,sedan,140,5.5,Petrol,yes,2009
Volkswagen,Touareg,55500,crossover,47,3,Diesel,yes,2016
Volkswagen,Sharan,6500,van,186,2.8,Petrol,yes,2000
Mercedes-Benz,E-Class,8300,sedan,175,3.2,Diesel,no,2006
Mitsubishi,Pajero Sport,12000,crossover,130,3,Gas,yes,2007
Mercedes-Benz,ML 350,15000,crossover,185,3.7,Gas,yes,2005
BMW,530,8100,sedan,246,3,Diesel,yes,2000
Volkswagen,T5 (Transporter),11200,van,178,NA,Diesel,yes,2008
Renault,Megane,8000,sedan,175,2,Gas,yes,2005
Mercedes-Benz,Vito,5500,van,285,2.3,Diesel,yes,1999
Mercedes-Benz,V 250,NA,van,0,2.2,Diesel,yes,2016
Renault,Megane,9600,vagon,184,1.5,Diesel,yes,2011
Volkswagen,Golf VI,12500,vagon,96,NA,Petrol,yes,2010
BMW,318,10800,sedan,180,2,Petrol,yes,2002
Mercedes-Benz,Vito,10999,van,263,2.2,Diesel,yes,2005
BMW,X5,44000,crossover,80,3,Diesel,yes,2012
Toyota,Camry,15700,sedan,108,NA,Petrol,yes,2008
Toyota,Prius,19200,hatch,54,1.4,Other,yes,2012
Mercedes-Benz,B 180,19600,van,127,1.8,Diesel,yes,2013
Volkswagen,Polo,9000,sedan,135,1.6,Gas,yes,2011
BMW,530,10900,sedan,245,3,Diesel,yes,2003
Volkswagen,T5 (Transporter),12900,van,180,2,Diesel,yes,2012
BMW,525,6600,sedan,285,2.5,Petrol,yes,1999
Renault,Fluence,15820.35,sedan,0,1.5,Diesel,yes,2016
Toyota,Camry,10200,sedan,180,2.4,Petrol,yes,2003
Mercedes-Benz,E-Class,6000,sedan,366,3.2,Gas,yes,1994
Audi,90,3500,sedan,1,2,Other,yes,1988
Volkswagen,T4 (Transporter),7800,van,380,2.5,Diesel,yes,1999
Toyota,Land Cruiser Prado,35900,crossover,84,3,Diesel,yes,2013
Mercedes-Benz,GLS 500,NA,crossover,0,4.6,Petrol,yes,2016
Renault,Duster,11700,crossover,90,1.5,Diesel,yes,2011
Volkswagen,Tiguan,15200,crossover,58,2,Petrol,yes,2008
Mercedes-Benz,E-Class,2500,sedan,111,2.3,Gas,yes,1992
Volkswagen,T5 (Transporter),16800,other,164,2,Diesel,yes,2010
BMW,730,50499,sedan,128,3,Diesel,yes,2013
Mercedes-Benz,190,2650,sedan,470,2,Gas,yes,1985
BMW,523,2250,sedan,300,2.5,Petrol,no,1997
Mercedes-Benz,E-Class,9300,sedan,270,2.7,Diesel,yes,2001
Toyota,Hiace,11500,van,161,2.5,Diesel,yes,2002
BMW,745,13000,sedan,304,4.4,Other,yes,2002
Mercedes-Benz,S 320,7500,sedan,319,3.2,Gas,yes,1997
Mercedes-Benz,CLC 200,17999,other,38,2,Petrol,yes,2009
Renault,Megane,7300,vagon,162,1.5,Diesel,yes,2006
Toyota,Land Cruiser Prado,29900,crossover,117,3,Diesel,yes,2008
Renault,Kangoo,4950,vagon,170,1.5,Diesel,yes,2004
Audi,Q7,36000,vagon,40,3,Diesel,yes,2010
Audi,A4,1700,sedan,177,1.6,Petrol,no,1996
Audi,A4,12450,vagon,1,2,Diesel,yes,2008
Volkswagen,Polo,13893.75,sedan,0,1.6,Petrol,yes,2016
Volkswagen,Touareg,44600,crossover,60,3,Diesel,yes,2013
Toyota,Rav 4,35138.29,crossover,0,2,Petrol,yes,2016
BMW,325,3500,sedan,313,2.5,Diesel,yes,1994
